date,CHKR,OXSQ,VOC,USEA,FAT,MIND,NHTC,ABEV,LYG,MFG,NOK,BTG,SAN,PBI,CCEL,WHF,OFS,MRCC,PTMN,TPVG,CMBT,ZIM,OXLC,ECC,ORC,PSEC,TWO,AGNC,FSK,DX,NLY,INSW,MITT,SUNS,PBR,EFC,SDIV,QYLD,TRIN,ARLP,BCSF,RA,USA,GBDC,NMFC,PNNT,GSBD
2024-07-10,0.359561007322847,2.63467506606187,4.60597818043232,2.37044146552135,2.53761771897732,4.265,6.4454022200888,1.98248330771568,2.82060269896371,4.25185537616704,3.8378683410519,2.73885418444558,4.65764813288809,6.02093780997424,7.38266182862156,10.8272520660222,7.67770028567807,6.92924394983218,17.4942270347821,7.20702633990686,16.47,13.2569656911519,4.75299503171593,8.79658078007255,7.32708100090043,5.02110089200315,11.8151058843629,8.75896506925145,18.2427336925113,10.7453059595087,17.5241572081982,52.5102531981109,6.35909882154882,10.529510703527,13.9589263390365,11.3817600715285,20.3171984792147,16.118573116071,12.6813874103996,22.2300736432865,15.2911651364608,11.6595119654747,6.29313717334038,14.5253998521075,11.3097372683277,7.02950228600692,13.9691192690025
2024-07-11,0.358673202366495,2.63467506606187,4.59722156792199,2.40733549611312,2.56405123688333,4.01,6.30989319572783,2.00118598042998,2.88730614116893,4.22246467080183,3.81848516761224,2.87386812311543,4.62877841305614,6.47201784134039,6.79536185653335,10.8711581976768,7.90011338781242,6.81983483483484,17.5389693034133,7.24248526408844,16.31,11.9466453303522,4.69431608070709,8.75362872548235,7.3872800232083,5.00316838881742,12.02113123337,8.98015105584871,18.3421245150064,10.9325685529939,18.0214888111141,52.1797113000288,6.59906481481481,13.1945019081365,14.0050258315697,11.6348889690685,20.6003968393117,16.0916339966569,12.6813874103996,22.3645839719066,15.3467020558426,11.6960908265429,6.34746641512461,14.6351635789496,11.3372772129746,6.95813678056523,13.9242889760981
2024-07-12,0.346243932977557,2.65229831065092,4.68478769302527,2.39811198846517,2.79666619445625,4.15,6.24661346453858,2.01053731678713,2.87777707799675,4.25185537616704,3.86694310121138,2.93173123968823,4.67689461277606,6.57988480536273,7.13418876350732,10.8623769713458,7.88232033964167,6.85265756933404,17.449484766151,7.29567365036082,16.31,11.3984500773646,4.67755066613314,8.7361738327097,7.46467876617555,4.9852358856317,12.2719447017264,9.24557423976542,18.3692311029596,11.0128239502019,18.4645660573482,51.1329952894352,6.68212996632997,12.8124577144687,13.9128268465034,11.7252921467613,20.6643448561078,16.118573116071,12.8795340886871,22.4183881033547,15.3652143623033,11.6869461112758,6.43801515143167,14.4888119431601,11.3831771207195,6.98489884510586,13.8973908003555
2024-07-15,0.357341494931966,2.66110993294544,4.79862365565953,2.38888848081723,2.77551938013144,4.48,6.2918132725309,2.00118598042998,2.86824801482458,4.24205847437864,3.79910199417259,2.9220873869261,4.60953193316817,6.78581264576902,6.70124327126281,10.8799394240077,7.97128558049542,6.86569548887122,17.530020849687,7.31340311245161,16.1,12.1070927214705,4.727846909855,8.76235617186867,7.44747904551616,5.02110089200315,12.3794361881649,9.1747947240543,18.3873021615951,11.1198311464791,18.428396486227,52.0603489479435,6.80211296296296,11.6849614355955,14.0142457300763,11.716251828992,20.6643448561078,16.145512235485,12.7444340807638,22.4094207481133,15.355958209073,11.6686566807417,6.36557616238603,14.3973421707917,11.3372772129746,6.62807131789739,13.9242889760981
2024-07-16,0.35068295775932,2.73160291130161,4.74608398059756,2.39811198846517,2.79137949087505,4.66,6.40029281171247,2.03859132585858,2.8968352043411,4.29104298332066,3.76033564729327,3.02816976730955,4.6480248929441,6.94271004798333,6.75771442242513,10.8009083870294,7.93569948415392,6.92012652358241,17.6016084794969,7.34886203663319,16.15,12.2341135727725,4.74461232442896,8.76235617186867,7.58507681079129,5.02110089200315,12.5944191610418,9.29865887654876,18.2969468684177,11.2535901418257,18.7448802335371,52.5102531981109,6.94055488215488,11.2190538823421,14.0050258315697,11.8247356422234,20.8744597684378,16.1365325290137,12.6183407400354,22.6156699186642,15.3837266687639,11.6686566807417,6.42896027780096,14.3973421707917,11.3464571945236,6.59200018147346,13.8077302145467
2024-07-17,0.355121982541084,2.71838547785983,4.72857075557691,2.38427672699326,2.75965926938783,4.655,6.42741269650786,2.03859132585858,2.88730614116893,4.32043368868587,3.77971882073293,2.95101894521249,4.67689461277606,6.94271004798333,6.9930108856015,10.7657834817057,7.89121686372705,6.88365681858329,17.7716291002953,7.80096331994838,16.17,11.9733865622052,4.76137773900291,8.74490127909603,7.53347764881312,5.02110089200315,12.6302496565213,9.18364216351819,18.4144087495483,11.1733347446178,18.4645660573482,51.9042597182936,6.98670218855219,10.4083747396812,13.9497064405299,11.842816277762,20.7922408897,16.0646948772429,12.726420746374,22.6874087605949,15.4207512816851,11.6686566807417,6.40179565690885,14.260137512239,11.4107170653664,6.61905353379141,13.7539338630615
2024-07-18,0.364000032104611,2.68273452077314,4.6322480179633,2.36315489447947,2.76494597296903,4.6221,6.40933277331093,1.96378063500138,2.87777707799675,4.33023059047427,3.50835439257775,2.87386812311543,4.6480248929441,6.72697611993865,6.92712787591212,10.6779712183966,7.86452729147093,6.81071740858506,17.6016084794969,7.7655043957668,16.23,11.7059742436747,4.71878938713348,8.70126404716441,7.3786801628786,5.01213464041029,12.3436056926854,9.10401520834317,18.2156271045581,11.1287484128356,18.2113790595001,50.7106361974413,6.88517811447811,10.5108744013969,13.7837482674106,11.7433727822999,20.646073994166,16.0557151707715,12.4652273977223,22.8129517339737,15.355958209073,11.6046436738725,6.34746641512461,14.1961086715811,11.3280972314257,6.50182234041363,13.6015108671866
2024-07-19,0.363600519874252,2.69164726004481,4.55343850537036,2.37044146552135,2.75965926938783,4.84,6.35509300372015,1.97313197135853,2.88730614116893,4.27144917974385,3.53742915273723,2.82564885930477,4.61915517311215,6.6485274188315,6.74830256389808,10.5813777287565,7.8734238155563,6.7924825560855,17.449484766151,7.73891020263061,16.47,11.3182263818054,4.73582472788125,8.65762681523279,7.29268155958165,4.92247212448166,12.2540294539867,9.04208313209594,18.2246626338758,10.994989417489,18.1480823100381,51.5737178202114,6.93132542087542,9.73746786299625,13.774528368904,11.7704937356077,20.5729905463991,15.9569383995867,12.5372807352814,22.8757232206631,15.3004212896911,11.5406306670032,6.21164331066403,14.1503737853969,11.236297415936,6.44771563577773,13.5566805742823
2024-07-22,0.372878081668138,2.68273452077314,4.72857075557691,2.39811198846517,2.77023267655024,4.777,6.38673286931477,1.99183464407283,2.86824801482458,4.31063678689746,3.62465343321568,2.88351197587757,4.73463405243996,6.67794568174668,6.96477531002034,10.7482210290439,7.73997595427568,6.95659622858152,17.530020849687,7.93393428562932,16.96,11.866421634793,4.78693075012457,8.7361738327097,7.35288058188951,5.00316838881742,12.370478564295,9.06862545048761,18.459586396137,11.1019966137663,18.2837182017424,53.8691476680044,7.02362003367003,10.4829199482017,13.599350297278,11.842816277762,20.7922408897,16.0892992729744,12.7894674167382,22.9026252863871,15.4207512816851,11.5863542433384,6.26743651405323,14.2692844894759,11.3923571022685,6.5198579086256,13.6911714529954
2024-07-23,0.359561007322847,2.67382178150147,4.67603108051494,2.37044146552135,2.75965926938783,4.98,6.391252850114,1.98248330771568,2.88730614116893,4.4086058047815,3.62730505134223,2.8642242703533,4.75388053232793,6.61910915591631,7.28477849994019,10.7218773500512,7.77556205061718,7.11706293057764,17.6731961093067,7.88961063040234,16.74,12.2274282648092,4.79544842049846,8.72744638632338,7.3872800232083,5.00316838881742,12.3436056926854,9.13055752673484,18.3963376909128,11.2179210764,18.3741421295453,53.263154188187,6.93132542087542,10.8836004439996,13.4333921241587,11.8608969133006,20.6552094251369,16.0620907623662,12.8705274214922,22.9922988388005,15.2819089832305,11.723524972344,6.30463198297936,14.2144026260548,11.3739971391705,6.53789347683756,13.6015108671866
