Ticker,Name,Sector,Asset Class
AMAT,APPLIED MATERIAL INC,Information Technology,Equity
NEE,NEXTERA ENERGY INC,Utilities,Equity
SYK,STRYKER CORP,Health Care,Equity
CMCSA,COMCAST CORP CLASS A,Communication,Equity
APP,APPLOVIN CORP CLASS A,Information Technology,Equity
SCHW,CHARLES SCHWAB CORP,Financials,Equity
DHR,DANAHER CORP,Health Care,Equity
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity
FI,FISERV INC,Financials,Equity
BA,BOEING,Industrials,Equity
GILD,GILEAD SCIENCES INC,Health Care,Equity
TMUS,T MOBILE US INC,Communication,Equity
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity
COP,CONOCOPHILLIPS,Energy,Equity
ETN,EATON PLC,Industrials,Equity
DE,DEERE,Industrials,Equity
MDT,MEDTRONIC PLC,Health Care,Equity
BX,BLACKSTONE INC,Financials,Equity
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity
MMC,MARSH & MCLENNAN INC,Financials,Equity
PLD,PROLOGIS REIT INC,Real Estate,Equity
ANET,ARISTA NETWORKS INC,Information Technology,Equity
MU,MICRON TECHNOLOGY INC,Information Technology,Equity
BMY,BRISTOL MYERS SQUIBB,Health Care,Equity
CB,CHUBB LTD,Financials,Equity
ADI,ANALOG DEVICES INC,Information Technology,Equity
LRCX,LAM RESEARCH CORP,Information Technology,Equity
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity
KLAC,KLA CORP,Information Technology,Equity
INTC,INTEL CORPORATION CORP,Information Technology,Equity
GEV,GE VERNOVA INC,Industrials,Equity
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity
KKR,KKR AND CO INC,Financials,Equity
ICE,INTERCONTINENTAL EXCHANGE INC,Financials,Equity
SPOT,SPOTIFY TECHNOLOGY SA,Communication,Equity
SO,SOUTHERN,Utilities,Equity
WELL,WELLTOWER INC,Real Estate,Equity
WM,WASTE MANAGEMENT INC,Industrials,Equity
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity
MO,ALTRIA GROUP INC,Consumer Staples,Equity
ELV,ELEVANCE HEALTH INC,Health Care,Equity
EQIX,EQUINIX REIT INC,Real Estate,Equity
PH,PARKER-HANNIFIN CORP,Industrials,Equity
LMT,LOCKHEED MARTIN CORP,Industrials,Equity
AMT,AMERICAN TOWER REIT CORP,Real Estate,Equity
CME,CME GROUP INC CLASS A,Financials,Equity
NKE,NIKE INC CLASS B,Consumer Discretionary,Equity
DUK,DUKE ENERGY CORP,Utilities,Equity
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,Equity
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials,Equity
SHW,SHERWIN WILLIAMS,Materials,Equity
CVS,CVS HEALTH CORP,Health Care,Equity
MCO,MOODYS CORP,Financials,Equity
TT,TRANE TECHNOLOGIES PLC,Industrials,Equity
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity
APH,AMPHENOL CORP CLASS A,Information Technology,Equity
MMM,3M,Industrials,Equity
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity
CI,CIGNA,Health Care,Equity
SNPS,SYNOPSYS INC,Information Technology,Equity
AJG,ARTHUR J GALLAGHER,Financials,Equity
PYPL,PAYPAL HOLDINGS INC,Financials,Equity
